gene,log2fc,p_value,mean_active,mean_latent,p_adj,significant
H2AFJ,1.2070036306352845,6.595072728779666e-19,3040.7154237113405,1317.1386060240964,6.831061635552957e-17,True
IFITM1,0.6618520685148228,6.637311133181626e-19,22876.20865979381,14459.281867469883,6.845050351765623e-17,True
SECTM1,1.0929024227362691,6.76884747066173e-19,208.320246185567,97.66412614457832,6.950614366102344e-17,True
MFNG,-0.3977661065770496,6.872713939921105e-19,3604.501288659794,4748.80913253012,7.026981295739934e-17,True
ABCA1,0.9338619986342495,7.25710627495678e-19,3784.616154639176,1981.0770433734942,7.38829242685023e-17,True
PRKCQ,-0.6151467551609637,7.693982592474323e-19,958.7333917525774,1468.50516626506,7.799733927681524e-17,True
MTA1,-0.4619283545600774,7.793977168241928e-19,511.6610113402062,704.7524843373493,7.867623647416418e-17,True
MFGE8,-0.8516677325713795,7.941341223395153e-19,472.7377536082474,853.0958337349397,7.982555779111507e-17,True
NCOA5,-0.4373148735459215,8.03143064644416e-19,504.4328587628866,683.043343373494,8.039192113035261e-17,True
GOLGA3,-0.3688054277702148,9.269313335528487e-19,1538.5703402061854,1986.730012048193,9.239449857418207e-17,True
ADAP2,0.6322306249005586,9.94221959834914e-19,1592.1437051546393,1027.216251807229,9.868895728811317e-17,True
DTX3L,1.2098819851113423,1.2196117204027815e-18,649.7498092783507,280.88942686746987,1.2055937765624674e-16,True
